ProductID,ProductName,Category,StoreID,Date,UnitsSold,UnitsInStock,UnitCost,UnitPrice,Season
P001,Action Figure A,Action Figures,101,01-01-2023,19,30,5.46,10.19,Back to School
P001,Action Figure A,Action Figures,102,01-01-2023,10,36,18.91,29.13,Back to School
P001,Action Figure A,Action Figures,103,01-01-2023,10,59,14.19,26.31,None
P002,Puzzle Set B,Puzzles,101,01-01-2023,31,41,13.62,19.86,Christmas
P002,Puzzle Set B,Puzzles,102,01-01-2023,40,80,19.33,34.35,None
P002,Puzzle Set B,Puzzles,103,01-01-2023,15,198,16.86,27.56,Back to School
P003,Doll C,Dolls,101,01-01-2023,27,67,12.26,18.84,None
P003,Doll C,Dolls,102,01-01-2023,9,139,7.32,12.91,Diwali
P003,Doll C,Dolls,103,01-01-2023,48,111,15.26,19.45,Diwali
P004,Board Game D,Board Games,101,01-01-2023,37,24,11.45,15.45,Christmas
P004,Board Game D,Board Games,102,01-01-2023,10,86,17.74,33.79,Back to School
P004,Board Game D,Board Games,103,01-01-2023,19,30,12.08,18.67,None
P001,Action Figure A,Action Figures,101,08-01-2023,23,159,5.42,10.56,Christmas
P001,Action Figure A,Action Figures,102,08-01-2023,28,30,19.47,34.89,None
P001,Action Figure A,Action Figures,103,08-01-2023,40,123,13.11,22.56,None
P002,Puzzle Set B,Puzzles,101,08-01-2023,13,73,13.35,23.88,Christmas
P002,Puzzle Set B,Puzzles,102,08-01-2023,37,37,18.12,35.5,Christmas
P002,Puzzle Set B,Puzzles,103,08-01-2023,13,135,13.54,24.59,Christmas
P003,Doll C,Dolls,101,08-01-2023,8,193,7.89,11.72,None
P003,Doll C,Dolls,102,08-01-2023,9,172,17,22.56,Summer Holiday
P003,Doll C,Dolls,103,08-01-2023,11,28,6.77,10.48,Summer Holiday
P004,Board Game D,Board Games,101,08-01-2023,34,96,13.8,22.74,Diwali
P004,Board Game D,Board Games,102,08-01-2023,35,118,11.17,16.18,Diwali
P004,Board Game D,Board Games,103,08-01-2023,19,196,11.53,14.06,Back to School
P001,Action Figure A,Action Figures,101,15-01-2023,27,55,15.12,24.84,Diwali
P001,Action Figure A,Action Figures,102,15-01-2023,42,41,7.93,12.87,Christmas
P001,Action Figure A,Action Figures,103,15-01-2023,35,157,15.68,25.43,Back to School
P002,Puzzle Set B,Puzzles,101,15-01-2023,28,46,16.95,29.95,Back to School
P002,Puzzle Set B,Puzzles,102,15-01-2023,11,26,9.79,16.76,Christmas
P002,Puzzle Set B,Puzzles,103,15-01-2023,7,139,12.3,17.44,Christmas
P003,Doll C,Dolls,101,15-01-2023,31,121,17.29,31.19,Diwali
P003,Doll C,Dolls,102,15-01-2023,35,116,8.56,13.2,None
P003,Doll C,Dolls,103,15-01-2023,48,21,15.6,19.11,Summer Holiday
P004,Board Game D,Board Games,101,15-01-2023,29,138,8.75,12.35,Diwali
P004,Board Game D,Board Games,102,15-01-2023,34,81,18.95,29.06,Christmas
P004,Board Game D,Board Games,103,15-01-2023,43,56,10.44,15.8,Christmas
P001,Action Figure A,Action Figures,101,22-01-2023,39,107,15.47,22.73,None
P001,Action Figure A,Action Figures,102,22-01-2023,6,116,19.85,31.24,Diwali
P001,Action Figure A,Action Figures,103,22-01-2023,23,110,17.02,23.25,Back to School
P002,Puzzle Set B,Puzzles,101,22-01-2023,20,52,14.42,20.57,Summer Holiday
P002,Puzzle Set B,Puzzles,102,22-01-2023,7,79,18.93,33.44,Diwali
P002,Puzzle Set B,Puzzles,103,22-01-2023,48,119,15.79,30.06,None
P003,Doll C,Dolls,101,22-01-2023,26,185,19.51,33.33,None
P003,Doll C,Dolls,102,22-01-2023,5,89,13.34,24.54,Summer Holiday
P003,Doll C,Dolls,103,22-01-2023,42,140,18.7,26.88,Diwali
P004,Board Game D,Board Games,101,22-01-2023,36,110,11.63,17.76,Diwali
P004,Board Game D,Board Games,102,22-01-2023,46,21,8.95,13.99,Back to School
P004,Board Game D,Board Games,103,22-01-2023,5,108,13.9,23.59,None
P001,Action Figure A,Action Figures,101,29-01-2023,27,47,14.22,22.58,Summer Holiday
P001,Action Figure A,Action Figures,102,29-01-2023,17,153,10.9,21.31,None
P001,Action Figure A,Action Figures,103,29-01-2023,19,92,12.15,21.57,Christmas
P002,Puzzle Set B,Puzzles,101,29-01-2023,9,21,14.92,22.22,None
P002,Puzzle Set B,Puzzles,102,29-01-2023,42,193,17.54,23.13,Summer Holiday
P002,Puzzle Set B,Puzzles,103,29-01-2023,31,102,9.26,14.02,Summer Holiday
P003,Doll C,Dolls,101,29-01-2023,6,45,14.95,25.72,Christmas
P003,Doll C,Dolls,102,29-01-2023,30,123,8.23,14.24,None
P003,Doll C,Dolls,103,29-01-2023,45,160,16.56,30.04,Diwali
P004,Board Game D,Board Games,101,29-01-2023,49,86,13.68,19.83,Summer Holiday
P004,Board Game D,Board Games,102,29-01-2023,33,65,13.26,19.13,None
P004,Board Game D,Board Games,103,29-01-2023,7,44,19.79,32.7,Christmas
P001,Action Figure A,Action Figures,101,05-02-2023,33,89,13.63,20.25,Back to School
P001,Action Figure A,Action Figures,102,05-02-2023,44,131,7.03,13.35,Summer Holiday
P001,Action Figure A,Action Figures,103,05-02-2023,5,136,17.59,21.67,Back to School
P002,Puzzle Set B,Puzzles,101,05-02-2023,16,142,17.4,22.2,Summer Holiday
P002,Puzzle Set B,Puzzles,102,05-02-2023,24,104,6.43,12.48,Christmas
P002,Puzzle Set B,Puzzles,103,05-02-2023,20,84,7.09,10.38,None
P003,Doll C,Dolls,101,05-02-2023,22,24,16.2,23.3,Summer Holiday
P003,Doll C,Dolls,102,05-02-2023,29,113,9.6,13.11,Back to School
P003,Doll C,Dolls,103,05-02-2023,48,86,8.06,11.89,Christmas
P004,Board Game D,Board Games,101,05-02-2023,41,104,7.25,9.38,Back to School
